A Customer Group exists with same name please change the Customer name or rename the Customer Group,
A Customer exists with same name,
A Lead with this email id should exist,Egy célpont ezzel az email címmel már létezik
A Product or Service,
"A Product or a Service that is bought, sold or kept in stock.",
A Supplier exists with same name,
A condition for a Shipping Rule,
A logical Warehouse against which stock entries are made.,
A symbol for this currency. For e.g. $,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,
"A user with ""Expense Approver"" role",
AMC Expiry Date,Éves karbantartási szerződés lejárati dátuma
Abbr,Röv.
Abbreviation cannot have more than 5 characters,
Above Value,
Absent,Hiányzik
Acceptance Criteria,Elfogadási határ
Accepted,Elfogadva
Accepted + Rejected Qty must be equal to Received quantity for Item {0},
Accepted Quantity,Elfogadott mennyiség
Accepted Warehouse,Elfogadott raktár
Account,Számla
Account Balance,Számla egyenleg
Account Created: {0},
Account Details,Számla adatok
Account Group,
Account Head,Számla fejléc
Account Name,Számla név
Account Type,Számla típus
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",
Account for the warehouse (Perpetual Inventory) will be created under this Account.,
Account head {0} created,
Account must be a balance sheet account,
Account with child nodes cannot be converted to ledger,
Account with existing transaction can not be converted to group.,
Account with existing transaction can not be deleted,
Account with existing transaction cannot be converted to ledger,
Account {0} cannot be a Group,
Account {0} does not belong to Company {1},
Account {0} does not belong to company: {1},
Account {0} does not exist,
Account {0} does not exists,
Account {0} has been entered more than once for fiscal year {1},
Account {0} is frozen,
Account {0} is inactive,
Account {0} is not valid,
Account {0} must be of type 'Fixed Asset' as Item {1} is an Asset Item,
Account {0}: Parent account {1} can not be a ledger,
Account {0}: Parent account {1} does not belong to company: {2},
Account {0}: Parent account {1} does not exist,
Account {0}: You can not assign itself as parent account,
Account: {0} can only be updated via Stock Transactions,
Accountant,
Accounting,Könyvelés
"Accounting Entries can be made against leaf nodes, called",
Accounting Entry for Stock,
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",
Accounting journal entries.,
Accounts,Könyvelés
Accounts Browser,
Accounts Frozen Upto,A számlák be vannak fagyasztva eddig
Accounts Manager,
Accounts Payable,Fizethető számlák
Accounts Receivable,
Accounts Settings,Könyvelés beállításai
Accounts User,
Achieved,
Active,Aktív
Active: Will extract emails from ,
Activity,Tevékenység
Activity Log,Tevékenység lista
Activity Log:,
Activity Type,Tevékenység típusa
Actual,
Actual Budget,Jelenlegi költség
Actual Completion Date,Tényleges befejezés dátuma
Actual Date,Jelenlegi dátum
Actual End Date,Jelenlegi záró dátum
Actual Invoice Date,Jelenlegi számlázási dátum
Actual Posting Date,Aktuális rögzítés dátuma
Actual Qty,Aktuális db.
Actual Qty (at source/target),
Actual Qty After Transaction,
Actual Qty is mandatory,
Actual Qty: Quantity available in the warehouse.,Aktuális mennyiség: az elérhető mennyiség a raktárban
Actual Quantity,Aktuális mennyiség
Actual Start Date,Jelenlegi kezdő dátum
Add,Hozzáadás
Add / Edit Prices,
Add / Edit Taxes and Charges,Adók és költségek hozzáadása / szerkesztése
Add Child,
Add Serial No,
Add Taxes,
Add or Deduct,
Add rows to set annual budgets on Accounts.,
Add to Cart,
Add to calendar on this date,
Add/Remove Recipients,
Address,Cím
Address & Contact,Cím és Kapcsolattartó
Address & Contacts,Címek és Kapcsolattartók
Address Desc,Cím leírása
Address Details,Cím részletei
Address HTML,
Address Line 1,1. cím sor
Address Line 2,2. cím sor
Address Template,Címlista sablon
Address Title,Cím címe
Address Title is mandatory.,
Address Type,Cím típusa
Address master.,
Administrative Expenses,
Administrative Officer,
Administrator,
Advance Amount,Előleg
Advance Paid,
Advance amount,Előleg
"Advance paid against {0} {1} cannot be greater \
					than Grand Total {2}",
Advances,Előlegek
Advertisement,Hirdetés
Advertising,
Aerospace,
After Sale Installations,
Against,Ellen
Against Account,Ellen számla
Against Docname,
Against Doctype,
Against Document Detail No,
Against Document No,
Against Expense Account,
Against Income Account,
Against Invoice,
Against Invoice Posting Date,
Against Journal Voucher,
Against Journal Voucher {0} does not have any unmatched {1} entry,
Against Journal Voucher {0} is already adjusted against some other voucher,
Against Purchase Invoice,
Against Purchase Order,
Against Sales Invoice,
Against Sales Order,
Against Supplier Invoice {0} dated {1},
Against Voucher,
Against Voucher No,
Against Voucher Type,Ellen-bizonylat típusa
"Against Voucher Type must be one of Purchase Order, Purchase Invoice or Journal Voucher",
"Against Voucher Type must be one of Sales Order, Sales Invoice or Journal Voucher",
Age,
Ageing Based On,
Ageing Date is mandatory for opening entry,
Ageing date is mandatory for opening entry,
Agent,Ügynök
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.

Note: BOM = Bill of Materials",
Aging Date,
Aging Date is mandatory for opening entry,
Agriculture,
Airline,
All,
All Addresses.,Minden cím.
All Contact,Minden Kapcsolattartó
All Contacts.,Minden Kapcsolattartó.
All Customer Contact,Minden vevői Kapcsolattartó
All Customer Groups,
All Day,Minden nap
All Employee (Active),
All Item Groups,
All Lead (Open),
All Products or Services.,Minden termék és szolgáltatás.
All Sales Partner Contact,Minden értékesítő kapcsolata
All Sales Person,Minden értékesítő
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,
All Supplier Contact,
All Supplier Types,
All Territories,
"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.",
"All import related fields like currency, conversion rate, import total, import grand total etc are available in Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.",
All items have already been invoiced,
All these items have already been invoiced,
Allocate,
Allocate leaves for a period.,
Allocate leaves for the year.,
Allocated,
Allocated Amount,Lefoglalt mennyiség
Allocated Budget,Lefoglalt költségkeret
Allocated amount,Lefoglalt mennyiség
Allocated amount can not be negative,
Allocated amount can not greater than unadusted amount,
Allow Bill of Materials,Anyagjegyzék készül belőle?
Allow Bill of Materials should be 'Yes'. Because one or many active BOMs present for this item,"Az Anyagjegyzék készül belőle? opció legyen 'Igen', mert egy vagy több BOM hivatkozik rá"
Allow Children,
Allow Dropbox Access,
Allow Google Drive Access,
Allow Negative Balance,
Allow Negative Stock,Negatív készlet engedélyezése
Allow Production Order,Gyártási rendelés engedélyezése
Allow User,
Allow Users,
Allow the following users to approve Leave Applications for block days.,
Allow user to edit Price List Rate in transactions,
Allowance Percent,Százalékos eltérés
Allowance for over-{0} crossed for Item {1},
Allowance for over-{0} crossed for Item {1}.,
Allowed Role to Edit Entries Before Frozen Date,
Amended From,
Amount,Összeg
Amount (Company Currency),
Amount Paid,
Amount to Bill,
Amounts not reflected in bank,
Amounts not reflected in system,
Amt,
An Customer exists with same name,
"An Item Group exists with same name, please change the item name or rename the item group",
"An item exists with same name ({0}), please change the item group name or rename the item",
Analyst,
Annual,
Another Period Closing Entry {0} has been made after {1},
Another Salary Structure {0} is active for employee {1}. Please make its status 'Inactive' to proceed.,
"Any other comments, noteworthy effort that should go in the records.",
Apparel & Accessories,
Applicability,Alkalmazhatóság
Applicable Charges,
Applicable For,
Applicable Holiday List,
Applicable Territory,
Applicable To (Designation),
Applicable To (Employee),
Applicable To (Role),
Applicable To (User),
Applicant Name,
Applicant for a Job,
Applicant for a Job.,
Application of Funds (Assets),
Applications for leave.,
Applies to Company,
Apply / Approve Leaves,
Apply On,
Appraisal,Teljesítmény értékelés
Appraisal Goal,Teljesítmény értékelés célja
Appraisal Goals,Teljesítmény értékelés céljai
Appraisal Template,Teljesítmény értékelő sablon
Appraisal Template Goal,Teljesítmény értékelő sablon célja
Appraisal Template Title,Teljesítmény értékelő sablon címe
Appraisal {0} created for Employee {1} in the given date range,
Apprentice,
Approval Status,Jóváhagyás állapota
Approval Status must be 'Approved' or 'Rejected',
Approved,Jóváhagyott
Approver,Jóváhagyó
Approving Role,
Approving Role cannot be same as role the rule is Applicable To,
Approving User,Jóváhagyó felhasználó
Approving User cannot be same as user the rule is Applicable To,
Are you sure you want to STOP ,
Are you sure you want to UNSTOP ,
Arrear Amount,
"As Production Order can be made for this item, it must be a stock item.",
As per Stock UOM,
"As there are existing stock transactions for this item, you can not change the values of 'Has Serial No', 'Has Batch No', 'Is Stock Item' and 'Valuation Method'",
Asset,
Assistant,
Associate,
Atleast one of the Selling or Buying must be selected,
Atleast one warehouse is mandatory,
Attach Image,
Attach Letterhead,
Attach Logo,
Attach Your Picture,
Attendance,Jelenléti
Attendance Date,Jelenléti dátum
Attendance Details,Jelenléti részletek
Attendance From Date,
Attendance From Date and Attendance To Date is mandatory,
Attendance To Date,
Attendance can not be marked for future dates,
Attendance for employee {0} is already marked,
Attendance record.,
Auditor,
Authorization Control,
Authorization Rule,Jóváhagyási szabály
Auto Accounting For Stock Settings,
Auto Material Request,Automata anyagrendelés
Auto-raise Material Request if quantity goes below re-order level in a warehouse,
Automatically compose message on submission of transactions.,
Automatically updated via Stock Entry of type Manufacture/Repack,
Automotive,
Autoreply when a new mail is received,
Available,Elérhető
Available Qty at Warehouse,Elérhető mennyiség a raktárban
Available Stock for Packing Items,Elérhető készlet a csomagoláshoz
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet",
Average Age,
Average Commission Rate,Átlagos jutalék mérték
Average Discount,
Avg Daily Outgoing,
Avg. Buying Rate,
Awesome Products,
Awesome Services,
BOM Detail No,
BOM Explosion Item,
BOM Item,BOM tétel
BOM No,Anyagjegyzék száma
BOM No. for a Finished Good Item,
BOM Operation,
BOM Operations,
BOM Rate,
BOM Replace Tool,Anyagjegyzék cserélő eszköz
BOM number is required for manufactured Item {0} in row {1},
BOM number not allowed for non-manufactured Item {0} in row {1},
BOM recursion: {0} cannot be parent or child of {2},
BOM replaced,Anyagjegyzék lecserélve
BOM {0} for Item {1} in row {2} is inactive or not submitted,
BOM {0} is not active or not submitted,
BOM {0} is not submitted or inactive BOM for Item {1},
Backup Manager,Mentés kezelő
Backup Right Now,
Backups will be uploaded to,
Balance,
Balance Qty,
Balance Sheet,
Balance Value,
Balance for Account {0} must always be {1},
Balance must be,
"Balances of Accounts of type ""Bank"" or ""Cash""",
Bank,
Bank / Cash Account,
Bank A/C No.,
Bank Account,Bankszámla
Bank Account No.,Bankszámla szám
Bank Accounts,
Bank Clearance Summary,
Bank Draft,
Bank Name,Bank neve
Bank Overdraft Account,
Bank Reconciliation,
Bank Reconciliation Detail,
Bank Reconciliation Statement,
Bank Voucher,Banki bizonylat
Bank/Cash Balance,
Banking,
Barcode,Vonalkód
Barcode {0} already used in Item {1},
Based On,
Basic,
Basic Info,Általános adatok
Basic Information,Általános adatok
Basic Rate,
Basic Rate (Company Currency),
Batch,Köteg
Batch (lot) of an Item.,
Batch Finished Date,Kötegelés vége
Batch ID,Köteg ID
Batch No,Köteg száma
Batch Started Date,Kötegelés kezdő dátuma
Batch Time Logs for Billing.,Időnaplók gyűjtése számlázáshoz.
Batch Time Logs for billing.,Időnaplók gyűjtése számlázáshoz.
Batch-Wise Balance History,
Batched for Billing,
Better Prospects,
Bill Date,
Bill No,
Bill of Material,Anyagjegyzék
Bill of Material to be considered for manufacturing,
Bill of Materials (BOM),Anyagjegyzék (BOM)
Billable,
Billed,
Billed Amount,
Billed Amt,
Billing,Számlázás
Billing (Sales Invoice),Számlázás (Eladási számla)
Billing Address,Számlázási cím
Billing Address Name,Számlázási cím neve
Billing Status,Számlázási állapot
Bills raised by Suppliers.,
Bills raised to Customers.,
Bin,
Bio,Életrajz
Biotechnology,
Birthday,Születésnap
Block Date,
Block Days,
Block Holidays on important days.,
Block leave applications by department.,
Blog Post,Blog bejegyzés
Blog Subscriber,
Blood Group,Vércsoport
Both Warehouse must belong to same Company,
Box,
Branch,Ágazat
Brand,Márka
Brand Name,Márkanév
Brand master.,
Brands,Márkák
Breakdown,Üzemzavar
Broadcasting,
Brokerage,
Budget,Költségkeret
Budget Allocated,Lefoglalt költségkeret
Budget Detail,Költségkeret adatai
Budget Details,Költségkeret részletei
Budget Distribution,Költségvetés megoszlása
Budget Distribution Detail,Költségvetés megoszlásának adata
Budget Distribution Details,Költségvetés megoszlásának adatai
Budget Variance Report,
Budget cannot be set for Group Cost Centers,
Build Report,
Bundle items at time of sale.,
Business Development Manager,
Buyer of Goods and Services.,
Buying,Beszerzés
Buying & Selling,
Buying Amount,
Buying Settings,Beszerzés beállításai
"Buying must be checked, if Applicable For is selected as {0}",
C-Form,
C-Form Applicable,
C-Form Invoice Detail,
C-Form No,C-Form No
C-Form records,
CENVAT Capital Goods,
CENVAT Edu Cess,
CENVAT SHE Cess,
CENVAT Service Tax,
CENVAT Service Tax Cess 1,
CENVAT Service Tax Cess 2,
Calculate Based On,
Calculate Total Score,
Calendar Events,Események
Call,Hívás
Calls,
Campaign,Kampány
Campaign Name,
Campaign Name is required,
Campaign Naming By,
Campaign-.####,
Can be approved by {0},
"Can not filter based on Account, if grouped by Account",
"Can not filter based on Voucher No, if grouped by Voucher",
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',
Cancel Material Visit {0} before cancelling this Customer Issue,
Cancel Material Visits {0} before cancelling this Maintenance Visit,
Cancelled,Törölve
Cancelling this Stock Reconciliation will nullify its effect.,
Cannot Cancel Opportunity as Quotation Exists,
Cannot approve leave as you are not authorized to approve leaves on Block Dates,
Cannot cancel because Employee {0} is already approved for {1},
Cannot cancel because submitted Stock Entry {0} exists,
Cannot carry forward {0},
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",
Cannot convert Cost Center to ledger as it has child nodes,
Cannot covert to Group because Master Type or Account Type is selected.,
Cannot deactive or cancle BOM as it is linked with other BOMs,
"Cannot declare as lost, because Quotation has been made.",
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',
"Cannot delete Serial No {0} in stock. First remove from stock, then delete.",
"Cannot directly set amount. For 'Actual' charge type, use the rate field",
"Cannot overbill for Item {0} in row {0} more than {1}. To allow overbilling, please set in Stock Settings",
Cannot produce more Item {0} than Sales Order quantity {1},
Cannot refer row number greater than or equal to current row number for this Charge type,
Cannot return more than {0} for Item {1},
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for valuation. You can select only 'Total' option for previous row amount or previous row total,
Cannot set as Lost as Sales Order is made.,
Cannot set authorization on basis of Discount for {0},
Capacity,
Capacity Units,
Capital Account,
Capital Equipments,
Carry Forward,Átvihető a szabadság
Carry Forwarded Leaves,Áthozott szabadnapok száma
Case No(s) already in use. Try from Case No {0},
Case No. cannot be 0,
Cash,Készpénz
Cash In Hand,
Cash Voucher,Készpénzutalvány
Cash or Bank Account is mandatory for making payment entry,
Cash/Bank Account,
Casual Leave,
Cell Number,Mobilszám
Change Abbreviation,
Change UOM for an Item.,
Change the starting / current sequence number of an existing series.,
Channel Partner,Értékesítési partner
Charge of type 'Actual' in row {0} cannot be included in Item Rate,
Chargeable,
Charges are updated in Purchase Receipt against each item,
Charges will be distributed proportionately based on item amount,
Charity and Donations,
Chart Name,
Chart of Accounts,Számlatükör
Chart of Cost Centers,Költséghelyek listája
Check how the newsletter looks in an email by sending it to your email.,
"Check if recurring invoice, uncheck to stop recurring or put proper End Date",
"Check if recurring order, uncheck to stop recurring or put proper End Date",
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.",
Check if you want to send salary slip in mail to each employee while submitting salary slip,
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,
Check this if you want to show in website,
Check this to disallow fractions. (for Nos),
Check this to pull emails from your mailbox,
Check to activate,
Check to make Shipping Address,
Check to make primary address,
Chemical,
Cheque,
Cheque Date,
Cheque Number,
Child account exists for this account. You can not delete this account.,
City,Város
City/Town,Város/település
Claim Amount,Igényelt összeg
Claims for company expense.,
Class / Percentage,
Classic,Klasszikus
Classification of Customers by region,
Clear Table,Tábla törlése
Clearance Date,
Clearance Date not mentioned,
Clearance date cannot be before check date in row {0},
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,
Click on a link to get options to expand get options ,
Client,Ügyfél
Close,Bezárás
Close Balance Sheet and book Profit or Loss.,
Closed,Lezárva
Closing (Cr),
Closing (Dr),
Closing Account Head,
Closing Account {0} must be of type 'Liability',
Closing Date,
Closing Fiscal Year,
CoA Help,
Code,
Cold Calling,Hideg hívás (telemarketing)
Color,Szín
Column Break,
Column Break 1,
Comma separated list of email addresses,Emailcímek vesszővel elválasztva
Comment,Megjegyzés
Comments,Megjegyzések
Commercial,
Commission,
Commission Rate,Jutalék mértéke
Commission Rate (%),
Commission on Sales,
Commission rate cannot be greater than 100,A jutalék mértéke nem lehet több mint 100
Communication,Kommunikáció
Communication HTML,HTML Kommunikáció
Communication History,Kommunikációs történet
Communication log.,
Communications,
Company,Cég
Company (not Customer or Supplier) master.,
Company Abbreviation,
Company Details,Cég adatai
Company Email,
"Company Email ID not found, hence mail not sent",
Company Info,Cég infó
Company Name,Cég neve
Company Settings,Cég beállítások
Company is missing in warehouses {0},
Company is required,
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,"""A cég regisztrált adatai. Pl.: Cégbejegyzési szám; adószám; stb."""
Company registration numbers for your reference. Tax numbers etc.,"""A cég regisztrált adatai. Pl.: adószám; stb."""
"Company, Month and Fiscal Year is mandatory",
Compensatory Off,
Complete,Kész
Complete Setup,
Completed,Befejezve
Completed Production Orders,Befejezett gyártási rendelések
Completed Qty,
Completion Date,Befejezés dátuma
Completion Status,Művelet állapota
Computer,
Computers,
Confirmation Date,
Confirmed orders from Customers.,
Consider Tax or Charge for,
Considered as Opening Balance,
Considered as an Opening Balance,
Consultant,
Consulting,
Consumable,
Consumable Cost,
Consumable cost per hour,
Consumed,
Consumed Amount,
Consumed Qty,
Consumer Products,
Contact,Kapcsolat
Contact Desc,Kapcsolattartó leírása
Contact Details,Kapcsolattartó részletei
Contact Email,Kapcsolattartó e-mailcíme
Contact HTML,
Contact Info,Kapcsolattartó infó
Contact Mobile No,Kapcsolattartó mobilszáma
Contact Name,Kapcsolattartó neve
Contact No.,Kapcsolattartó száma
Contact Person,Kapcsolattartó személy
Contact Type,Kapcsolattartó típusa
Contact master.,
Contacts,
Content,Tartalom
Content Type,Tartalom típusa
Contra Voucher,Ellen bizonylat
Contract,
Contract End Date,
Contract End Date must be greater than Date of Joining,
Contribution %,
Contribution (%),
Contribution Amount,
Contribution to Net Total,
Conversion Factor,
Conversion Factor is required,
Conversion factor cannot be in fractions,
Conversion factor for default Unit of Measure must be 1 in row {0},
Conversion rate cannot be 0 or 1,
Convert to Group,
Convert to Ledger,
Converted,
Copy From Item Group,
Cosmetics,
Cost Center,Költségközpont
Cost Center Details,Költségközpont adatai
Cost Center For Item with Item Code ',
Cost Center Name,Költségközpont neve
Cost Center is required for 'Profit and Loss' account {0},
Cost Center is required in row {0} in Taxes table for type {1},
Cost Center with existing transactions can not be converted to group,
Cost Center with existing transactions can not be converted to ledger,
Cost Center {0} does not belong to Company {1},
Cost of Delivered Items,
Cost of Goods Sold,
Cost of Issued Items,
Cost of Purchased Items,
Costing,Költség
Country,Ország
Country Name,Ország neve
Country wise default Address Templates,Országonként eltérő címlista sablonok
"Country, Timezone and Currency",
Cr,
Create Bank Voucher for the total salary paid for the above selected criteria,
Create Customer,
Create Material Requests,Anyagigénylés létrehozása
Create New,
Create Opportunity,
Create Payment Entries against Orders or Invoices.,
Create Production Orders,Gyártásrendelés létrehozása
Create Quotation,
Create Receiver List,Címzettlista létrehozása
Create Salary Slip,Bérlap létrehozása
Create Stock Ledger Entries when you submit a Sales Invoice,
Create and Send Newsletters,
"Create and manage daily, weekly and monthly email digests.",
Create rules to restrict transactions based on values.,
Created By,Létrehozta
Creates salary slip for above mentioned criteria.,Bérlap létrehozása a fenti kritériumok alapján.
Creation Date,
Creation Document No,
Creation Document Type,
Creation Time,
Credentials,
Credit,Követelés
Credit Amt,
Credit Card,
Credit Card Voucher,Hitelkártya bizonylat
Credit Controller,
Credit Days,
Credit Limit,
Credit Note,Jóváírási értesítő
Credit To,
Cross Listing of Item in multiple groups,
Currency,Pénznem
Currency Exchange,Valuta árfolyam
Currency Name,Pénznem neve
Currency Settings,Pénznem beállítások
Currency and Price List,Pénznem és árlista
Currency exchange rate master.,
Current Address,Jelenlegi cím
Current Address Is,
Current Assets,
Current BOM,Aktuális anyagjegyzék (mit)
Current BOM and New BOM can not be same,
Current Fiscal Year,Jelenlegi pénzügyi év
Current Liabilities,
Current Stock,
Current Stock UOM,
Current Value,Jelenlegi érték
Custom,Egyedi
Custom Autoreply Message,
Custom Message,Egyedi üzenet
Customer,Vevő
Customer (Receivable) Account,
Customer / Item Name,Vevő / cikknév
Customer / Lead Address,Vevő / Célpont címe
Customer / Lead Name,Vevő / Célpont neve
Customer > Customer Group > Territory,
Customer Account,
Customer Account Head,Customer Account Head
Customer Acquisition and Loyalty,
Customer Address,Vevő címe
Customer Addresses And Contacts,Vevő címek és kapcsolatok
Customer Addresses and Contacts,Vevő címek és kapcsolatok
Customer Code,Vevő kódja
Customer Codes,Vevő kódok
Customer Details,Vevő részletek
Customer Feedback,Vevői visszajelzés
Customer Group,Vevő csoport
Customer Group / Customer,
Customer Group Name,Vevő csoport neve
Customer Id,
Customer Issue,Vevői probléma
Customer Issue against Serial No.,Sorozatszámozott vevői probléma
Customer Name,Vevő neve
Customer Naming By,
Customer Service,
Customer database.,Vevői adatbázis.
Customer is required,
Customer master.,
Customer required for 'Customerwise Discount',
Customer {0} does not belong to project {1},
Customer {0} does not exist,
Customer's Item Code,Vevő cikkszáma
Customer's Purchase Order Date,A Vevő rendelésének dátuma
Customer's Purchase Order No,A Vevő rendelésének száma
Customer's Purchase Order Number,
Customer's Vendor,A Vevő szállítója
Customers Not Buying Since Long Time,
Customers Not Buying Since Long Time ,
Customerwise Discount,
Customize,Testreszabás
Customize the Notification,
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,
DN Detail,
Daily,Napi
Daily Time Log Summary,Napi időnapló összesítő
Database Folder ID,
Database of potential customers.,
Date,Dátum
Date Format,Dátum formátum
Date Of Retirement,
Date Of Retirement must be greater than Date of Joining,
Date is repeated,
Date of Birth,Születési dátum
Date of Issue,Probléma dátuma
Date of Joining,Belépés dátuma
Date of Joining must be greater than Date of Birth,
Date on which lorry started from supplier warehouse,
Date on which lorry started from your warehouse,
Dates,Dátumok
Days Since Last Order,
Days for which Holidays are blocked for this department.,
Dealer,Terjesztő
Debit,Tartozás
Debit Amt,
Debit Note,Terhelési értesítő
Debit To,
Debit and Credit not equal for this voucher. Difference is {0}.,
Deduct,
Deduction,
Deduction Type,Levonások típusa
Deduction1,Levonás
Deductions,Levonások
Default,Alapértelmezett
Default Account,Alapértelmezett számla
Default Address Template cannot be deleted,
Default Amount,
Default BOM,Alapértelmezett BOM
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,
Default Bank Account,Alapértelmezett bankszámla
Default Buying Cost Center,
Default Buying Price List,
Default Cash Account,
Default Company,Alapértelmezett cég
Default Cost Center,Alapértelmezett költségközpont
Default Currency,Alapértelmezett pénznem
Default Customer Group,
Default Expense Account,
Default Income Account,Alapértelmezett bejövő számla
Default Item Group,Alapértelmezett árucsoport
Default Price List,Alapértelmezett árlista
Default Purchase Account in which cost of the item will be debited.,
Default Selling Cost Center,
Default Settings,Alapértelmezett beállítások
Default Source Warehouse,Alapértelmezett raktár
Default Stock UOM,Alapértelmezett mértékegység
Default Supplier,Alapértelmezett beszállító
Default Supplier Type,Alapértelmezett beszállító típus
Default Target Warehouse,Alapértelmezett cél raktár
Default Territory,Alapértelmezett terület
Default Unit of Measure,Alapértelmezett mértékegység
"Default Unit of Measure can not be changed directly because you have already made some transaction(s) with another UOM. To change default UOM, use 'UOM Replace Utility' tool under Stock module.",
Default Valuation Method,Alapértelmezett készletérték számítási mód
Default Warehouse,Alapértelmezett raktár
Default Warehouse is mandatory for stock Item.,
Default settings for accounting transactions.,
Default settings for buying transactions.,
Default settings for selling transactions.,
Default settings for stock transactions.,
Defense,
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>",
Del,
Delete,Törlés
Delivered,Kiszállítva
Delivered Amount,
Delivered Items To Be Billed,Kiszállított anyag számlázásra
Delivered Qty,Kiszállított mennyiség
Delivered Serial No {0} cannot be deleted,
Delivery Date,Szállítási dátum
Delivery Details,Szállítási adatok
Delivery Document No,
Delivery Document Type,
Delivery Note,Szállítólevél
Delivery Note Item,Szállítólevél tétel
Delivery Note Items,Szállítólevél tételek
Delivery Note Message,Szállítólevél szövege
Delivery Note No,Szállítólevél száma
Delivery Note Required,Szállítólevél szükséges
Delivery Note Trends,
Delivery Note {0} is not submitted,
Delivery Note {0} must not be submitted,
