Permission Level,Jogosultsági szint
Permission Levels,Jogosultsági szintek
Permission Rules,Jogosultsági szabályok
Permission already set,
Permissions,Jogosultságok
Permissions Settings,Jogosultság beállításai
Permissions Updated,
Permissions are automatically translated to Standard Reports and Searches.,
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.",
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.",
Permissions can be managed via Setup &gt; Role Permissions Manager,
Permissions get applied on Users based on what Roles they are assigned.,
Permitted Documents For User,Felhasználónak engedélyezett dokumentumok
Person,Személy
Personal Info,Személyes adatok
Phone,Telefon
Phone No.,Telefonszám
Pick Columns,
Picture URL,
Pincode,Irányítószám
Please attach a file first.,
Please attach a file or set a URL,
Please click on the following link to set your new password,
Please do not change the rows above {0},
Please do not change the template headings.,
Please enable pop-ups,
Please enter Event's Date and Time!,
"Please enter both your email and message so that we \
				can get back to you. Thanks!",
Please enter email address,Emailcím megadása
Please enter some text!,
Please enter title!,
Please login to Upvote!,
Please login to create a new {0},
Please make sure that there are no empty columns in the file.,
Please refresh to get the latest document.,
Please reply above this line or remove it if you are replying below it,
Please save before attaching.,
Please save the document before assignment,
Please save the document before removing assignment,
Please select a file or url,
Please select atleast 1 column from {0} to sort,
Please set filters,
Please set {0} first,
Please specify,
Please specify 'Auto Email Id' in Setup > Outgoing Email Settings,Kérem adja meg az 'Auto Email Id' adatait a Beállítások > Kimenő email beállítások alatt
Please specify Event date and time,
Please specify doctype,
Please specify user,
Please specify which date field must be checked,
Please specify which value field must be checked,
Please upload using the same template as download.,
Plugin,
Port,
Post,Hozzászólás
Post Publicly,Küldés mindenkinek
